ID,Producer,Battery,Battery.1,SDate,VP,Sulf,S.Temp,A.Temp,Dens,Temp.Mean,Temp.Roll,Estevan,Weyburn,Oxbow,Yellow Grass North,Melita,Kipling,CrudeType,Unknown,C5,Light_LSB,Light_SW,Medium_LSB,Medium_SW,Midale,Heavy_SW,Heavy_Sour,Crude_Breakdown,Crude_Num,VolumeM3,mth,Net Sulf,Net Dens,Net VP,SS_VP,SS_Dens,SS_Sulf,VP_95_Spec
200,CRESC,13-30-007-10W2,,3/13/2017,86.9,0.596,-2,-18,817,-17.68,-17.1352381,-17.4,-16.7,0,-16.5,-20,-17.8,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,10867.9,3,5291928.283,8879074.3,944420.51,33.71418518,2.158173026,0.007379359,0
201,CRESC,11-15-007-09W2,,3/13/2017,96.6,0.6285,0.7,-18,815,-17.68,-17.1352381,-17.4,-16.7,0,-16.5,-20,-17.8,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,6514.04,3,3336670.424,5308942.6,629256.264,15.16018518,12.03446169,0.002851901,0
202,SECUR ,08-28-005-33W1, REV,3/13/2017,80.3,1.181,3.5,-18,839,-17.68,-17.1352381,-17.4,-16.7,0,-16.5,-20,-17.8,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,106074.85,3,105105219.8,88996799.15,8517810.455,2.893016916,20.54867391,0.0206214,0
203,SECUR ,08-28-005-33W1, SALES,3/13/2017,90.6,1.126,3.5,-18,839.7,-17.68,-17.1352381,-17.4,-16.7,0,-16.5,-20,-17.8,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,106074.85,3,100294004,89071051.55,9610381.41,73.94474272,14.69238358,0.039442569,0
204,CRESC,05-14-003-01W2,,3/14/2017,90.19,0.885,10.8,-8,823.5,-9.35,-16.67571429,-8.4,-9,-11.3,-7.5,-9.6,-10.3,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,2628.26,3,1915469.317,2164372.11,237042.7694,6.332227452,25.31023488,0.041248312,0
205,CRESC,13-13-007-02W2,,3/14/2017,79.5,1.243,30.3,-8,842.9,-9.35,-16.67571429,-8.4,-9,-11.3,-7.5,-9.6,-10.3,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,4661.34,3,4883801.053,3929043.486,370576.53,6.254436271,0.400770682,0.00665881,0
206,CRESC,02-13-006-06W2,,3/14/2017,90.05,1.382,13.4,-8,845.1,-9.35,-16.67571429,-8.4,-9,-11.3,-7.5,-9.6,-10.3,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,1407.96,3,1644396.188,1189866.996,126786.798,64.78821853,2.455286811,0.003294584,0
207,CRESC,07-07-006-15W2,,3/14/2017,69.6,2.607,17.1,-8,873,-9.35,-16.67571429,-8.4,-9,-11.3,-7.5,-9.6,-10.3,Crude,0,0,0,0,0,0,1,0,0,Midale,5,6292.73,3,14321693.43,5493553.29,437974.008,24.920064,18.800896,0.000330745,0
208,CRESC,04-08-008-08W2,,3/15/2017,99.33,0.446,1.8,-1,818.05,-3.316666667,-15.1352381,-3.5,-2.6,-5.3,-1.7,-4.3,-2.5,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,132627.41,3,48389150.33,108495852.8,13173880.64,47.83011824,66.53305444,0.017669168,0
209,CRESC,14-27-001-13W2,,3/15/2017,90.35,0.73,25.7,-1,827,-3.316666667,-15.1352381,-3.5,-2.6,-5.3,-1.7,-4.3,-2.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,21566.57,3,13019953.97,17835553.39,1948539.6,69.70768627,273.3422223,0.353550982,0
210,RDGBK,09-26-007-09W2,,3/15/2017,97.51,1.338,7.3,-1,842.6,-3.316666667,-15.1352381,-3.5,-2.6,-5.3,-1.7,-4.3,-2.5,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,1068.25,3,1204343.768,900107.45,104165.0575,240.532583,0.870609391,0.000179519,0
211,SECUR ,08-28-005-33W1, REV,3/16/2017,70.91,1.077,8,1,845.9,1.5,-12.19238095,1.1,2.9,-0.8,4,-0.5,2.3,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,106074.85,3,96637826.72,89728715.62,7521767.614,123.0077766,5.602383585,0.061306519,0
212,SECUR ,08-28-005-33W1, SALES,3/16/2017,85.29,1.11,7.1,1,840.9,1.5,-12.19238095,1.1,2.9,-0.8,4,-0.5,2.3,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,106074.85,3,99010158.92,89198341.37,9047123.957,10.81826369,6.933028746,0.046053818,0
213,CRESC,15-26-007-04W2,,3/17/2017,62.4,1.405,6.7,-1,849.9,-1.7,-9.394761905,-2.6,-1.3,-0.8,0.2,-3.4,-2.3,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,290.432,3,346807.6103,246838.1568,18122.9568,384.194775,40.53786746,0.006463914,0
214,CRESC,15-21-008-03W2,,3/17/2017,74.1,1.551,5.5,-1,850.3,-1.7,-9.394761905,-2.6,-1.3,-0.8,0.2,-3.4,-2.3,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,167.658,3,221109.9356,142559.5974,12423.4578,62.42401692,45.79141584,0.051256266,0
215,CRESC,04-08-008-08W2,,3/20/2017,93,0.341,6.9,-1,810.3,-2.616666667,-1.954761905,-3.3,-2.4,-2,-2.1,-3.9,-2,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,132627.41,3,36646584.7,107467990.3,12334349.13,0.343316547,0.165469693,0.000779829,0
216,CRESC,09-13-007-11W2,,3/20/2017,89.6,0.4116,17.5,-1,812.4,-2.616666667,-1.954761905,-3.3,-2.4,-2,-2.1,-3.9,-2,Crude,0,0,0,1,0,0,0,0,0,Light_SW,2,23623.54,3,7899330.02,19191763.9,2116669.184,7.918977564,6.283944269,0.009707259,0
217,CRESC,13-30-007-10W2,,3/20/2017,87.1,0.564,13,-1,817.6,-2.616666667,-1.954761905,-3.3,-2.4,-2,-2.1,-3.9,-2,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,10867.9,3,5011475.603,8885595.04,946594.09,31.43162848,0.755286428,0.013901164,0
218,CRESC,11-15-007-09W2,,3/20/2017,93.5,0.634,5.6,-1,815.5,-2.616666667,-1.954761905,-3.3,-2.4,-2,-2.1,-3.9,-2,Crude,0,0,1,0,0,0,0,0,0,Light_LSB,1,6514.04,3,3367934.559,5312199.62,609062.74,0.62981405,8.815389521,0.002294716,0
219,CRESC,13-13-007-02W2,,3/20/2017,73,1.323,32.2,-1,846.2,-2.616666667,-1.954761905,-3.3,-2.4,-2,-2.1,-3.9,-2,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,4661.34,3,5218475.476,3944425.908,340277.82,81.01596853,7.112544875,2.56E-06,0
220,SECUR ,08-28-005-33W1, REV,3/20/2017,76.8,1.122,3.5,-1,844.5,-2.616666667,-1.954761905,-3.3,-2.4,-2,-2.1,-3.9,-2,Crude,0,0,0,0,1,0,0,0,0,Medium_LSB,3,106074.85,3,100508996.5,89580210.83,8146548.48,27.04922659,0.93496423,0.041047381,0
